caption,mean,precision,votes,not_funny,somewhat_funny,funny
"6 letters: Amazing, brilliant, helpful sidekick. I have no idea.",1.4099264705882353,0.02812058876556012,544,372,121,51
"Blasted, Watson, the trail has gone cold, unless you happen to know a 1987 NBA first round draft pick!",1.4095238095238096,0.02884876904919645,525,361,113,51
"A 10-letter word used to describe a school for young children?
Its ""elementary"" my dear Watson.",1.4077490774907748,0.02854291965307429,542,375,113,54
4 across 10 letters - Canal which transports food through the body?  Its Alimentary my dear Watson!,1.4076190476190475,0.02921296001971557,525,365,106,54
What the hell's a CUMBERBATCH?,1.4074074074074074,0.029193534764116534,513,354,109,50
"Watson, the clues have been right in front of us!""",1.4068441064638784,0.02802803498188214,526,357,124,45
I believe I’ve found a clue!,1.4065510597302504,0.028029582108037368,519,351,125,43
I’ve deduced that the suspect's use of ink demonstrates a level of misguided arrogance and stupidity.,1.4056224899598393,0.029271223238929472,498,342,110,46
"Pompus, arrogant, know-it-all British sleuth who dabbles in opium. Six letters. Watson, have you been taking opium?""",1.4046610169491525,0.030566589474617403,472,328,97,47
"I’ll be damned, Watson!  There are 64 clues here.",1.404426559356137,0.028032206333866674,497,333,127,37
Do I have to solve everything?,1.402805611222445,0.02794320990638961,499,335,127,37
Will Shortz did it.,1.4004065040650406,0.028347303462777463,492,333,121,38
"Watson, who redacted this puzzle?",1.4,0.026464113864908694,485,315,146,24
Something is going down.,1.3984526112185687,0.02871183957515782,517,359,110,48
Oh so you think I am the 'misanthropic detective with a drug problem' 11 down is referring to?,1.397119341563786,0.028862440317259527,486,333,113,40
All the clues are leading in two directions.,1.3956521739130434,0.03046724205811177,460,321,96,43
"Of course it's elementary my dear Watson, today is Monday.",1.394904458598726,0.02994836551939769,471,328,100,43
"You’re absolutely right Watson,  this is an entire page of  clues.",1.394456289978678,0.03151696458292215,469,337,79,53
"The suspect finished the in-flight magazine crossword and then returned it to the seat back pocket, Watson. We are dealing with a monster.",1.3929359823399559,0.032181656336930965,453,327,74,52
"No [blank], Sherlock. Four letters.",1.3927038626609443,0.03180069640018146,466,337,75,54
See here Watson the clue is famous sleuth not famous sloth,1.390625,0.0310156702506104,448,316,89,43
"School for young children, 10 letters? Elementary, my dear Watson!",1.389247311827957,0.030335095254088444,465,328,93,44
Did you say the clues are given to you right on the page?,1.3891402714932126,0.029969037738079737,442,305,102,35
When we became partners I said there’s never be a cross word between us. I was wrong.,1.388768898488121,0.030425995552364908,463,327,92,44
Diabolically clever! The word is ALIMENTARY!,1.3871681415929205,0.030948037317102623,452,321,87,44
I have been double crossed!!!,1.3865168539325843,0.030970983968523148,445,315,88,42
"Oddly, the skills don’t transfer.",1.384433962264151,0.0285643505172492,424,284,117,23
"You're right, 16-across is a killer.",1.383132530120482,0.03090339236347214,415,289,93,33
You didn’t fill out your application.,1.3829268292682926,0.02571425708632874,410,260,143,7
This is clearly a fake. Mel Ott hasn't been born yet.,1.3813131313131313,0.03232278280917456,396,280,81,35
Watson! What the devil is an eight-letter word for 'Victorian know-it-all?',1.3812785388127853,0.03194499265145026,438,317,75,46
Would it kill them to use a bigger font?,1.380710659898477,0.03183156216759156,394,276,86,32
"It’s a graphic depiction of white privilege, Watson.",1.3787128712871286,0.02964225546703504,404,275,105,24
Let's see. School starting with Kindergarten. Elementary my dear Watson. Elementary.,1.3759590792838874,0.03195737202531166,391,276,83,32
"Six letters,""Best detective"". Starts with ""W""?!",1.3743589743589744,0.030952151111852056,390,271,92,27
"Three letters, American for ""elementary,"" begins with D and ends with H ?!",1.3737623762376239,0.032931026474381356,404,294,69,41
It appears to be a secret message to Harry from the King.,1.3730569948186528,0.03304518633412083,386,278,72,36
I put on this whole getup but still have no clue.,1.3709677419354838,0.0332745676101555,372,267,72,33
You called me to solve a six-letter word for 'group of crows'?,1.3707165109034267,0.035695789672393986,321,230,63,28
"By the looks of this, you should stick with Wordl.",1.3668478260869565,0.03326811002415069,368,265,71,32
"What’s a 10 letter word meaning rudimentary, my Dear Watson?",1.366093366093366,0.031354683989142984,407,292,81,34
"Eight letters, “No Sh*t ______”",1.365650969529086,0.03656264856516453,361,274,42,45
"Isn't it curious for a Friday puzzle that our answer 'MORIARTY' is so easily deduced from the anagram of 3 down plus the second, third, and seventh letters of 22 across?",1.3653333333333333,0.032148201085538904,375,267,79,29
"No, Watson. In fact, it's the opposite: there's too MANY clues.",1.3651685393258426,0.032137553737707394,356,250,82,24
"What's six letters meaning short fat man with weird facial hair?""",1.3646723646723646,0.031939342352687215,351,245,84,22
The victim never stood a chance without a thesaurus.,1.3626062322946175,0.034696636327597105,353,259,60,34
Seven-letter word for British detective: they evidently confused me with Shylock.,1.3623595505617978,0.03210399331716776,356,251,81,24
Apparently I already have all the clues I need.,1.3622754491017963,0.03273244210241102,334,234,79,21
Appears tomorrow's paper will give us the answers we seek.,1.3621169916434541,0.03287767806477388,359,257,74,28
"Famous detectives sidekick. Six letters. Think, Watson, think!!",1.3619909502262444,0.044675511828000336,221,164,34,23
"Watson know it’s hard to believe, but I have no clue.",1.3595505617977528,0.033041899396994395,356,256,72,28
I've never needed this many clues.,1.3595166163141994,0.03289803514584285,331,233,77,21
The suspect lives dangerously — he used a pen.,1.359375,0.031765895031322385,384,276,78,30
All these clues and no dead body.,1.3588235294117648,0.03229649770124973,340,239,80,21
“Who can decipher all these redactions?”,1.3571428571428572,0.036452130558642465,364,280,38,46
Watson! We’ve been misquoted again!,1.3562874251497006,0.03478804938052331,334,244,61,29
1 across is not elementary Mr Watson,1.355140186915888,0.03324277301410542,321,227,74,20
Holmes's better half?,1.355140186915888,0.03382340561853852,321,229,70,22
"It's vexing, Watson.  Despite the title, I detect no cross words in this puzzle.",1.3549382716049383,0.03360485941248127,324,231,71,22
"They're displaying all the clues -- this must be a trap,Watson!",1.3547400611620795,0.03310792526204719,327,232,74,21
Four letters “No _ _ _ _ Sherlock!!”,1.3544668587896254,0.03689130389108245,347,266,39,42
"What’s a ten letter word meaning primary school, my dear Watson?",1.3532934131736527,0.034750499466782006,334,245,60,29
... cheugy?!,1.3519061583577712,0.038714381761283785,341,269,24,48
"Just as I suspected Watson, the clues have been here all along!",1.3516819571865444,0.03334879497181552,327,234,71,22
Someone has got a way with words.,1.350828729281768,0.027723990276250506,362,244,109,9
As hard as I try I fail to see the fun.,1.3508196721311476,0.03372577184274327,305,216,71,18
"For Heaven’s sake, Watson, the clues are all here in black and white.",1.3506493506493507,0.0344362707381674,308,221,66,21
This is a real puzzle we’ve got on our hands.,1.35,0.03440037179940507,320,232,64,24
"Watson, that must be a ""W"" but what the hell is a ""Wordle""?",1.3496932515337423,0.03610782569217709,326,244,50,32
The emu did it.,1.3495145631067962,0.03727753852070088,309,232,46,31
They say kisses xx but it looks more like a double-cross.,1.3483870967741935,0.03515348856230169,310,226,60,24
"Basic, my dear Watson, basic! Ten letter word that ends in y.",1.3474320241691844,0.03410423907873693,331,242,63,26
You've got to be kidding - you call these CLUES?,1.3471337579617835,0.03423090641408983,314,227,65,22
"Six letters, genius detective. And the answer is Poirot?",1.3456375838926173,0.037339632746888736,298,223,47,28
Who does Will Shortz think he's fooling?,1.345565749235474,0.03382284472370634,327,238,65,24
"""Our villain is literate and favors blue ink.""",1.3445945945945945,0.03432006783567647,296,212,66,18
"You are left-handed but were taught to write with your right hand, you ate a rather oily croissant for breakfast, and you are horrible at crosswords.""",1.3443708609271523,0.0375519603586554,302,228,44,30
Well this is no fun - they’ve provided all the clues!,1.3439490445859872,0.03477514909726069,314,230,60,24
"It's a 6 letter name of my sidekick starting with ""W"" . Think Watson, think!",1.3435374149659864,0.036744087156164174,294,218,51,25
apparently the letters are missing,1.3432343234323432,0.035956238316077346,303,224,54,25
"The game's across, Watson.  And down.",1.3430962343096233,0.03793714505476312,239,171,54,14
"When we catch this guy, I hope that he gets a long sentence.",1.3424657534246576,0.03722621258686885,292,218,48,26
None of these clues is as good as the address label.,1.3423728813559321,0.038178934337285544,295,224,41,30
Pathological liar running for President- 5 letters,1.3408360128617363,0.038360685486893135,311,241,34,36
"I'm more of a sudoku fan, myself.",1.34006734006734,0.03417135207101758,297,214,65,18
"It's from my arch-nemesis, the evil genius Will Shortz.",1.3386581469648562,0.03506921797495052,313,232,56,25
On closer inspection Watson it turns out I need glasses.,1.3380782918149465,0.03821156991958217,281,212,43,26
Pen marks — a clear sign of inflated ego.,1.3380281690140845,0.03725469640866992,284,212,48,24
Clues. Lots of clues. Let's find out what these people named Down and Across know.,1.3368794326241136,0.03605233701193271,282,207,55,20
"Watson, what the hell is a butt dial?",1.3345864661654134,0.03936324727920341,266,202,39,25
"No, my dear Watson, I do not believe 
'Easy Peasey' is the answer to 10 letters signifying simplicity.",1.3344947735191637,0.03757475946617382,287,217,44,26
"A ten letter word for 'simple'? Elementary, my dear Watson!",1.3333333333333333,0.03648036293127259,288,215,50,23
"Just as I suspected,Watson -- solved in ink.  We're looking for a sociopath.",1.3333333333333333,0.039317854974639244,276,212,36,28
"Just as suspected, you did it in pencil first!",1.3333333333333333,0.03725306635712482,276,206,48,22
Five letters...sound...pound...mound of Baskervilles?,1.3333333333333333,0.03731533785918517,279,209,47,23
"Well, Watson, I have to admit that, for the first time ever, I don't have a clue.",1.332214765100671,0.035271869623511615,298,221,55,22
This is not the cross examination I had in mind.,1.332191780821918,0.03121173875965731,292,204,79,9
Really? A six letter word for the world’s most famous detective and you wrote WATSON?,1.332116788321168,0.03951142966644502,274,211,35,28
"Stick with Sudoku, Watson.",1.332116788321168,0.033665368348681814,274,195,67,12
"For God's sake, Watson, all afternoon on the toilet and this is all you've done?",1.3320895522388059,0.04186990455326863,268,212,23,33
"An entry-level grade school for children? Mmh…well I’m stumped, my dear Watson!",1.3311036789297659,0.03452716550090381,299,220,59,20
"I need a four-letter word for 'No ____ , Sherlock.'",1.3310104529616724,0.03719437513241375,287,217,45,25
"Watson, I believe this Will Shortz must be an alias for Moriarty.",1.3295880149812733,0.040238835049680406,267,207,32,28
Sherlock's stooge. Five letters.,1.3295019157088122,0.03294710710105449,261,183,70,8
"On the contrary, Watson:  Many a man has been moved to murder by a cross word!""",1.3295019157088122,0.03908450479808534,261,198,40,23
My dear Watson.  WTF is not a word.,1.3287671232876712,0.037959529856658694,292,225,38,29
I need a Four letter word for hint,1.3282442748091603,0.035826518339275075,262,191,56,15
"When you have eliminated the impossible, whatever remains, however improbable, must be the truth. I'm telling you, Watson, four down is flidgtaab.",1.3273381294964028,0.03834284998637115,278,213,39,26
"We meet again, TV guide.",1.326996197718631,0.0391990024652838,263,201,38,24
"Help me out here, Watson: Who kissed a girl and liked it? Four letters, last letter “y”.",1.326996197718631,0.0357118517682956,263,192,56,15
"Watson,we must think outside the boxes.",1.3269230769230769,0.03720474069720922,260,193,49,18
I see a thumbprint!  It's still on a thumb!,1.3268482490272373,0.037097537768878634,257,190,50,17
He’s in here every week. I need to speak with Mr. Alda.,1.3266129032258065,0.0371507845944415,248,182,51,15
"It's obvious, Watson
We need the large-print version !",1.326007326007326,0.03848589946842365,273,209,39,25
You're right Watson.  They've changed the font.,1.3257575757575757,0.03559787777406204,264,193,56,15
"Watson, we're looking for an American - he's spelling all his words with a Z!",1.3257575757575757,0.03639806623691813,264,195,52,17
It appears to be some primitive form of Wordle.,1.3253012048192772,0.040372224102402196,249,191,35,23
"6 Across, 10 letter word, ending in Y.  Clue is: Clearly primitive.... It's elementary, my dear Watson.",1.3234200743494424,0.03627468414027555,269,200,51,18
I’ve told you a thousand times Watson! Never in pen!,1.3233082706766917,0.035371984846552545,266,195,56,15
Yet another definition of Oreo!,1.323076923076923,0.03713482496456758,260,194,48,18
"If we eliminate eight across, Watson, then whatever remains, however improbable, must be the answer to four down.",1.3228070175438595,0.036579363637927506,285,216,46,23
"Quick, Watson, find me all the hit songs by a Taylor Swift.",1.3225806451612903,0.03921355912265342,248,188,40,20
"Watson, you plainly wrote the answers in pencil first, then traced over them in pen.",1.3214285714285714,0.03915333589124753,252,192,39,21
"For goodness’ sake Watson, just look up the answers on your phone like everyone else.",1.321285140562249,0.03948946867629382,249,190,38,21
If only we had some clues.,1.3211678832116789,0.035399688811254285,274,203,54,17
"I'm finally stumped, Watson. The clue says, 'No____, Sherlock.'",1.3195488721804511,0.038009478673994304,266,203,41,22
I hate solving cases on Sundays,1.3190661478599222,0.036120158556387796,257,190,52,15
The game's afoot Watson. Our new nemesis is Will Shortz.,1.3183673469387756,0.040316443787347354,245,189,34,22
"I need a ten-letter word that means “straight-forward and uncomplicated,” Watson.",1.3181818181818181,0.03665198499772746,264,198,48,18
"What's 3 across and 8 down? Certainly not your penis, Watson.",1.3179916317991631,0.040615287279943166,239,184,34,21
"Ten letters for the start of a great education?
Elementary, my dear Watson!",1.3176470588235294,0.03954164363710445,255,197,35,23
Ten letters. “Easy to understand or solve.”,1.3171641791044777,0.036635777287088334,268,202,47,19
World's greatest detective can't start with P.,1.3169811320754716,0.03843969103851342,265,204,38,23
I’ve been looking up and down for these clues.,1.316872427983539,0.03365340238540818,243,173,63,7
I'd like it better if they didn't give you the clues.,1.316872427983539,0.03561729961963907,243,177,55,11
"Uncoated mechanical paper, broadsheet, manufactured in Mississippi, carbon black with soybean oil ink, offset print...",1.3166666666666667,0.040034271696563824,240,184,36,20
Hercule Poirot!?,1.3166023166023166,0.03830353333867311,259,198,40,21
Know-it-all.  Eight letters?,1.3157894736842106,0.03835093992174036,247,187,42,18
Will Shortz… or the handiwork of that fiend Professor Moriarty!!!,1.3154121863799284,0.0337300840252826,279,205,60,14
"Curiously, it seems the wily Brian Eno has yet another alibi.",1.3153526970954357,0.0385672687059217,241,182,42,17
"I should know this, shouldn’t I?",1.3147410358565736,0.03790015361579537,251,190,43,18
"10 letters, 'basic'--its 'elementary,' my dear Watson.",1.3146067415730338,0.037065379840934325,267,203,44,20
"What’s another word for “elementary,” my dear Watson?",1.3146067415730338,0.038187998740923816,267,206,38,23
"Eliminate the impossible, then what's left . . . doesn't fit either.",1.314516129032258,0.03735311268188585,248,186,46,16
"“To the trained eye, Watson, there are many clues to be found here.”",1.314516129032258,0.03646855222358723,248,184,50,14
"No, my dear Watson, this is not elementary. This is the bloody New York Times Saturday crossword puzzle.",1.3143939393939394,0.036971357951350585,264,200,45,19
"There are clues all over this page, Watson.",1.3137254901960784,0.0362052800898053,255,190,50,15
Our killer is a man of letters.,1.3133047210300428,0.038017495214322086,233,174,45,14
If only this were a Monday or Tuesday.,1.3127572016460904,0.036473471579817,243,180,50,13
"Ten letters for easy? That's elementary, Watson.",1.3120300751879699,0.03861363700773262,266,207,35,24
Who the bloody blazes is Robert Downey Jr.?,1.3116883116883118,0.03565906104541096,231,168,54,9
"10 letters.  Elementary?  No.  Junior High, dear Watson.",1.3113553113553114,0.03491740773208856,273,204,53,16
There has to be a clue in here somewhere.,1.3109243697478992,0.03646226545956772,238,176,50,12
"What's a ten letter word for ""uncomplicated,"" my Dear Watson?",1.3106060606060606,0.03570805028643298,264,198,50,16
"The clues, Watson, are right in front of us.",1.310204081632653,0.03757995597744384,245,185,44,16
I solved this yesterday.,1.3099173553719008,0.03458399802060166,242,176,57,9
"What do they mean, ""Sherlock Holmes' creator""?",1.3099173553719008,0.03966445592643342,242,187,35,20
WILL SHORTZ is obviously an anagram of WHIZ TROLLS!  The editor considers himself a clever 'whiz' who 'trolls' the readers with his incessant daily puzzles,1.3097345132743363,0.04352207231034334,226,180,22,24
Baker Street Know-It-All ; six letters,1.308695652173913,0.04019191871852214,230,177,35,18
"Does my eye look enormous right now, Watson?",1.3083700440528634,0.041041681868848275,227,176,32,19
Where's the fun in this?  It lists the clues for any idiot to find.,1.3073929961089494,0.03753969067404177,257,197,41,19
I detect a pattern.,1.3066666666666666,0.038276355169730644,225,169,43,13
"And yet again, Watson, both Eno and Ono appear together in a crossword puzzle. But why?",1.3063063063063063,0.038618675887867715,222,167,42,13
"Famous detective, six letters, second letter ""o"", and you put down ""Poirot""?",1.3061224489795917,0.04008205374680257,245,192,31,22
"Redacted, redacted, redacted.",1.3047210300429184,0.03369284878944615,233,168,59,6
"The clues have been under our noses all along, Watson!",1.3045454545454545,0.03717824593280864,220,163,47,10
"Yes, Agatha Christie and Sherlock Holmes both fit into 14 spaces?",1.3045267489711934,0.038122676252471364,243,186,40,17
This is not what I meant when I asked for clues,1.3043478260869565,0.03663656039923904,230,171,48,11
"What is ten letters, starts with E and means simple?",1.3018867924528301,0.0350302198630839,265,200,50,15
I cannot see through this frying pan.,1.3009708737864079,0.043887518439875234,206,163,24,19
"I'm afraid, my dear Watson, that we have been provided with many clues, but precious few answers.",1.3008849557522124,0.036444708463670795,226,168,48,10
I shouldn't have deduced in ink.,1.3004484304932735,0.0372980375077033,223,167,45,11
"According to seven across, I’m fictional!",1.3004484304932735,0.03940482427417575,223,171,37,15
"What's a four letter word for ""No ____, Sherlock.""",1.3004291845493563,0.04056950768927611,233,183,30,20
"Watson, I asked for the large print version!",1.3,0.03924357419247871,220,168,38,14
"9 down, 'Most famous Holmes', who the hell is Elizabeth?!",1.2990654205607477,0.04211818793786092,214,168,28,18
A fraud! Clearly filled in by pencil and traced over in ink!,1.297979797979798,0.04218655566808383,198,153,31,14
What do they mean by FICTIONAL detective who lives at 221B Baker Street?,1.2972972972972974,0.03996920525357679,222,172,34,16
"7 down, 4 letters, begins with “c”.  I haven’t a ____”",1.2971698113207548,0.04019710832650256,212,163,35,14
"Watson, you idiot.  The clue was here all along.
Mustard!  Colonel  Mustard.",1.2971698113207548,0.04074945692206988,212,164,33,15
"The suspect appears to have started, gotten very frustrated, and given up. We might have a motive.""",1.297029702970297,0.0409778443845208,202,155,34,13
‘A bumbling yet helpful sidekick’. Six letters. Begins with W.  Help me out here Watson.,1.296943231441048,0.0386034901814194,229,176,38,15
I see that you have used an eraser at least three times.,1.2966507177033493,0.040585875317241366,209,161,34,14
"I wasn't able to find your father, but 12 across is Lady Gaga.",1.2962962962962963,0.04072899368660428,216,168,32,16
"All our time together, Watson, and never a cross word. Until today.",1.2955465587044535,0.03660691437092129,247,189,43,15
"The clues have no theme, so it couldn’t have happened on a Friday.",1.294930875576037,0.037842824475623274,217,164,42,11
"'Simple' is a six-letter word for 'elementary', wouldn't you say, Watson?",1.2946428571428572,0.03704576793557514,224,169,44,11
You don’t know who the “most famous detective” is?,1.293859649122807,0.03963650715405488,228,178,33,17
"When you have eliminated all the words in the English language but one, whatever remains must be the the answer, however improbable”",1.2924528301886793,0.040636733450463904,212,165,32,15
They used a pen.,1.2922374429223744,0.0391825064619161,219,169,36,14
Why can't they ask for a four letter word for Richard?,1.2918454935622317,0.040383160603287865,233,185,28,20
"The right answer is ""alimentary"".",1.2918454935622317,0.03992243720344477,233,184,30,19
